Model,Disabled_Layers,Disabled_Percentage,Trial,Accuracy,Block_Type
Resnet-18,4,50.0,19,11.5234375,downsampling
Resnet-18,4,50.0,20,12.3046875,downsampling
Resnet-18,4,50.0,21,10.15625,downsampling
Resnet-18,4,50.0,22,14.84375,downsampling
Resnet-18,4,50.0,23,15.0390625,downsampling
Resnet-18,4,50.0,24,8.203125,downsampling
Resnet-18,4,50.0,25,34.765625,downsampling
Resnet-18,4,50.0,26,41.015625,downsampling
Resnet-18,4,50.0,27,18.9453125,identity_only
Resnet-18,4,50.0,28,8.3984375,downsampling
Resnet-18,4,50.0,29,8.203125,downsampling
Resnet-18,4,50.0,30,19.921875,downsampling
Resnet-18,5,62.5,1,12.3046875,downsampling
Resnet-18,5,62.5,2,18.75,downsampling
Resnet-18,5,62.5,3,19.7265625,downsampling
Resnet-18,5,62.5,4,9.765625,downsampling
Resnet-18,5,62.5,5,11.1328125,downsampling
Resnet-18,5,62.5,6,12.6953125,downsampling
Resnet-18,5,62.5,7,7.8125,downsampling
Resnet-18,5,62.5,8,12.3046875,downsampling
Resnet-18,5,62.5,9,13.0859375,downsampling
Resnet-18,5,62.5,10,27.34375,downsampling
Resnet-18,5,62.5,11,9.9609375,downsampling
Resnet-18,5,62.5,12,13.0859375,downsampling
Resnet-18,5,62.5,13,11.328125,downsampling
Resnet-18,5,62.5,14,12.5,downsampling
Resnet-18,5,62.5,15,9.1796875,downsampling
Resnet-18,5,62.5,16,8.59375,downsampling
Resnet-18,5,62.5,17,9.1796875,downsampling
Resnet-18,5,62.5,18,14.6484375,downsampling
Resnet-18,5,62.5,19,10.9375,downsampling
Resnet-18,5,62.5,20,13.0859375,downsampling
Resnet-18,5,62.5,21,12.3046875,downsampling
Resnet-18,5,62.5,22,13.0859375,downsampling
Resnet-18,5,62.5,23,9.9609375,downsampling
Resnet-18,5,62.5,24,10.9375,downsampling
Resnet-18,5,62.5,25,9.1796875,downsampling
Resnet-18,5,62.5,26,8.203125,downsampling
Resnet-18,5,62.5,27,13.0859375,downsampling
Resnet-18,5,62.5,28,12.3046875,downsampling
Resnet-18,5,62.5,29,8.59375,downsampling
Resnet-18,5,62.5,30,13.4765625,downsampling
Resnet-18,6,75.0,1,9.375,downsampling
