Model,Disabled_Layers,Disabled_Percentage,Trial,Accuracy
VGG-16,5,38.4615,18,12.5
VGG-16,5,38.4615,19,8.203125
VGG-16,5,38.4615,20,8.203125
VGG-16,5,38.4615,21,8.984375
VGG-16,5,38.4615,22,8.203125
VGG-16,5,38.4615,23,8.203125
VGG-16,5,38.4615,24,8.203125
VGG-16,5,38.4615,25,8.203125
VGG-16,5,38.4615,26,8.203125
VGG-16,5,38.4615,27,8.203125
VGG-16,5,38.4615,28,8.203125
VGG-16,5,38.4615,29,8.203125
VGG-16,5,38.4615,30,8.203125
VGG-16,6,46.1538,1,8.203125
VGG-16,6,46.1538,2,8.203125
VGG-16,6,46.1538,3,8.203125
VGG-16,6,46.1538,4,8.203125
VGG-16,6,46.1538,5,8.203125
VGG-16,6,46.1538,6,8.984375
VGG-16,6,46.1538,7,8.203125
VGG-16,6,46.1538,8,8.203125
VGG-16,6,46.1538,9,8.203125
VGG-16,6,46.1538,10,8.203125
VGG-16,6,46.1538,11,8.203125
VGG-16,6,46.1538,12,8.203125
VGG-16,6,46.1538,13,8.203125
VGG-16,6,46.1538,14,8.203125
VGG-16,6,46.1538,15,8.984375
VGG-16,6,46.1538,16,8.203125
VGG-16,6,46.1538,17,8.203125
VGG-16,6,46.1538,18,8.203125
VGG-16,6,46.1538,19,8.203125
VGG-16,6,46.1538,20,8.203125
VGG-16,6,46.1538,21,8.203125
VGG-16,6,46.1538,22,8.203125
VGG-16,6,46.1538,23,8.203125
VGG-16,6,46.1538,24,8.984375
VGG-16,6,46.1538,25,8.203125
VGG-16,6,46.1538,26,8.203125
VGG-16,6,46.1538,27,8.203125
VGG-16,6,46.1538,28,8.203125
VGG-16,6,46.1538,29,8.203125
VGG-16,6,46.1538,30,8.984375
VGG-16,7,53.8462,1,8.984375
VGG-16,7,53.8462,2,8.203125
VGG-16,7,53.8462,3,8.203125
VGG-16,7,53.8462,4,8.203125
VGG-16,7,53.8462,5,8.203125
VGG-16,7,53.8462,6,8.203125
VGG-16,7,53.8462,7,8.203125
VGG-16,7,53.8462,8,8.203125
VGG-16,7,53.8462,9,8.984375
VGG-16,7,53.8462,10,8.203125
VGG-16,7,53.8462,11,8.203125
VGG-16,7,53.8462,12,8.203125
VGG-16,7,53.8462,13,8.984375
VGG-16,7,53.8462,14,8.203125
VGG-16,7,53.8462,15,8.203125
VGG-16,7,53.8462,16,10.9375
VGG-16,7,53.8462,17,8.203125
VGG-16,7,53.8462,18,8.203125
VGG-16,7,53.8462,19,8.203125
VGG-16,7,53.8462,20,8.203125
VGG-16,7,53.8462,21,8.203125
VGG-16,7,53.8462,22,8.203125
VGG-16,7,53.8462,23,8.203125
VGG-16,7,53.8462,24,8.203125
VGG-16,7,53.8462,25,8.203125
VGG-16,7,53.8462,26,8.984375
VGG-16,7,53.8462,27,8.203125
VGG-16,7,53.8462,28,8.984375
VGG-16,7,53.8462,29,8.203125
VGG-16,7,53.8462,30,8.203125
VGG-16,8,61.5385,1,8.203125
VGG-16,8,61.5385,2,8.203125
VGG-16,8,61.5385,3,8.203125
VGG-16,8,61.5385,4,8.203125
VGG-16,8,61.5385,5,8.203125
VGG-16,8,61.5385,6,8.203125
VGG-16,8,61.5385,7,8.203125
VGG-16,8,61.5385,8,8.203125
VGG-16,8,61.5385,9,8.203125
VGG-16,8,61.5385,10,8.203125
VGG-16,8,61.5385,11,8.203125
VGG-16,8,61.5385,12,8.203125
